Name;Fueltype;Technology;Set;DateIn;DateOut;Country;City;Capacity;Efficiency;lat;lon;CHP_MaxHeat
Farge Bremen;COAL;COAL_ST_f2000;PP;1970;;Germany;Bremen;350;0,46;53,20225516;8,517052748;26
Staudinger5 Grosskrotzenburg;COAL;COAL_ST_b1999;PP;1992;;Germany;Grosskrotzenburg;510;0,403;50,08805295;8,952219924;300
Zolling Block 5;COAL;COAL_ST_EXC_b1989;CHP;1986;;Germany;Zolling;472;0,363;48,45499893;11,79899413;150
GKHBlock1 Hannover;COAL;COAL_ST_BKP_b1983;CHP;1989;;Germany;Hannover;136;0,245;52,41261664;9,667109701;212,5
GKHBlock2 Hannover;COAL;COAL_ST_BKP_b1983;CHP;1989;;Germany;Hannover;136;0,245;52,41261664;9,667109701;212,5
KW HafenBlock 6 Bremen;COAL;COAL_ST_EXC_b1983;CHP;1979;;Germany;Bremen;300;0,329;53,12505143;8,728690667;39
KW HastedtBlock 15 Bremen;COAL;COAL_ST_EXC_b1989;CHP;1989;;Germany;Bremen;119;0,363;53,0604439;8,864734993;170
HKW WestBlock 2 Frankfurt am Main;COAL;COAL_ST_EXC_b1989;CHP;1989;;Germany;Frankfurt am Main;61,5;0,363;50,098294;8,653205;105
HKW WestBlock 3 Frankfurt am Main;COAL;COAL_ST_EXC_b1989;CHP;1989;;Germany;Frankfurt am Main;61,5;0,363;50,098294;8,653205;105
HKW ErlangenK6 DT2;COAL;COAL_ST_BKP_b1983;CHP;1980;;Germany;Erlangen;17,4;0,245;49,5878361;11,01206652;159,4
HKW-MitteBlock 1  Braunschweig;COAL;COAL_ST_EXC_b1989;CHP;1984;;Germany;Braunschweig;43,3;0,363;52,28190718;10,53546889;318,5
Heizkraftwerk FLBlock 11 Flensburg;COAL;COAL_ST_BKP_b1983;CHP;1992;;Germany;Flensburg;31;0,245;54,80439976;9,418993401;72
Heizkraftwerk FLBlock 10 Flensburg;COAL;COAL_ST_BKP_b1983;CHP;1988;;Germany;Flensburg;33;0,245;54,80439976;9,418993401;72
Heizkraftwerk FLBlock 9 Flensburg;COAL;COAL_ST_EXC_b1989;CHP;1985;;Germany;Flensburg;33;0,363;54,80439976;9,418993401;72
Heizkraftwerk Offenbach;COAL;COAL_ST_EXC_b1989;CHP;1990;;Germany;Offenbach;54;0,363;50,10843367;8,747088252;160
Steinbeis EnergieKohlekessel Glueckstadt;COAL;COAL_ST_EXC_f2000;CHP;2010;;Germany;Glueckstadt;17;0,42;53,79561771;9,43539156;8,032552
Werk Uelzen;COAL;COAL_ST_EXC_b1989;CHP;1990;;Germany;Uelzen;40;0,363;52,97190776;10,56642912;18,90012
Heizkraftwerk HeilbronnHLB 7;COAL;COAL_ST_EXC_b1989;CHP;1985;;Germany;Heilbronn;778;0,363;49,17733443;9,206318444;550
Rheinhafen-DampfkraftwerkRDK 7 Karlsruhe;COAL;COAL_ST_EXC_f2000;CHP;1985;;Germany;Karlsruhe;517;0,42;49,01250435;8,30277302;220
Rheinhafendampfkraftwerk Bl. 8RDK 8 Karlsruhe;COAL;COAL_ST_EXC_f2000;CHP;2014;;Germany;Karlsruhe;842;0,42;49,013484;8,305264;220
GKM Block 7 Mannheim;COAL;COAL_ST_EXC_b1983;CHP;1982;;Germany;Mannheim;425;0,329;49,44569237;8,490450296;250
GKM Block 8 Mannheim;COAL;COAL_ST_EXC_b1999;CHP;1993;;Germany;Mannheim;435;0,383;49,44569237;8,490450296;121,2
GKMBlock 9 Mannheim;COAL;COAL_ST_EXC_f2000;CHP;2015;;Germany;Mannheim;843;0,42;;;391,7769
Heizkraftwerk Altbach/DeizisauALT HKW 2 (DT Solob;COAL;COAL_ST_EXC_b1999;CHP;1997;;Germany;Altbach;336;0,383;48,7176154;9,374916464;280
Heizkraftwerk Stuttgart-GaisburgGAI DT 14 neu;COAL;COAL_ST_EXC_f2000;CHP;2009;;Germany;Stuttgart;10,5;0,42;48,81819098;9,201834054;273
Restmuell-Heizkraftwerk Stuttgart-MuensterMueN DT12;COAL;COAL_ST_EXC_b1989;CHP;1982;;Germany;Stuttgart;45;0,363;48,81819098;9,201834054;183,6986
Restmuell-Heizkraftwerk Stuttgart-MuensterMueN DT15;COAL;COAL_ST_EXC_b1989;CHP;1984;;Germany;Stuttgart;45;0,363;48,81819098;9,201834054;183,6986
Heizkraftwerk Magirusstrasse Ulm;COAL;COAL_ST_EXC_b1983;CHP;1978;;Germany;Ulm;20,7;0,329;48,39391632;9,969041719;9,780813
Koehler Energie GmbH Oberkirch;COAL;COAL_ST_EXC_b1989;CHP;1986;;Germany;Oberkirch;18,5;0,363;48,52299986;8,067729772;8,741306
BergkamenA;COAL;COAL_ST_EXC_b1983;CHP;1981;;Germany;Bergkamen;717;0,329;51,6370289;7,618958627;20
Kraftwerk I  Block 4  Marl;COAL;COAL_ST_EXC_b1983;CHP;1971;;Germany;Marl;55,25;0,329;51,68786566;7,115999099;199
Kraftwerk I Block 5  Marl;COAL;COAL_ST_BKP_b1999;CHP;1983;;Germany;Marl;60,2;0,29;51,68786566;7,115999099;127,4066
Datteln4;COAL;COAL_ST_EXC_f2000;CHP;2018;;Germany;Datteln;1055;0,42;51,62962468;7,331363972;380
HeizkraftwerkHKV Voelklingen-Fenne;COAL;COAL_ST_EXC_b1983;CHP;1989;;Germany;Voelklingen-Fenne;211;0,329;49,248475;6,880063;185
ModellkraftwerkMKV Voelklingen-Fenne;COAL;COAL_ST_EXC_b1989;CHP;1982;;Germany;Voelklingen-Fenne;179;0,363;49,22003227;6,805302312;236
KW HerneHerne 4;COAL;COAL_ST_EXC_b1989;CHP;1989;;Germany;Herne;449;0,363;51,55139053;7,188889255;550
IbbenbuerenB;COAL;COAL_ST_b1979;PP;1985;;Germany;Ibbenbueren;794;0,349;52,28666712;7,746382527;375,1674
KW LuenenLuenen 7;COAL;COAL_ST_EXC_b1969;CHP;1970;;Germany;Luenen;324;0,303;51,61444105;7,481388001;153,091
KW WalsumWalsum 9 Duisburg;COAL;COAL_ST_EXC_b1989;CHP;1988;;Germany;Duisburg;370;0,363;51,5286276;6,711759686;295
HKW RoemerbrueckeKohleanlage Saarbruecken;COAL;COAL_ST_EXC_b1989;CHP;1988;;Germany;Saarbruecken;50;0,363;49,23058998;7,041957952;235
Trianel Kohlekraftwerk Luenen;COAL;COAL_ST_EXC_f2000;CHP;2013;;Germany;Luenen;735;0,42;51,61444105;7,481388001;35
Reno De MediciHD - Kraftwerk Arnsberg;COAL;COAL_ST_EXC_b1969;CHP;1970;;Germany;Arnsberg;19,1;0,303;51,3862049;8,052025815;8,876557
Heizkraftwerk der Sappi Stockstadt GmbHKonvention;COAL;COAL_ST_EXC_b1969;CHP;1970;;Germany;Stockstadt;24,79;0,303;49,97582748;9,051137777;11,52094
HeizkraftwerkBlock B Industriepark Hoechst;COAL;COAL_ST_EXC_b1989;CHP;1989;;Germany;Industriepark Hoechst;66;0,363;50,091284;8,530071;139,6816
Industrie-Kraftwerk Rheinberg;COAL;COAL_ST_EXC_f2000;CHP;1975;;Germany;Rheinberg;79;0,42;51,55649422;6,609795335;36,71456
HKW Karcherstr.20 Kaiserslautern;COAL;COAL_ST_EXC_b1999;CHP;1996;;Germany;Kaiserslautern;13,4;0,383;49,43890458;7,769435647;6,227532
Kraftwerk IDampfwirtschaft (6 Einzelturbinen) Mar;COAL;COAL_ST_EXC_b1969;CHP;1970;;Germany;Marl;169,32;0,303;;;262
Kraftwerk L 57 Krefeld-Uerdingen;COAL;COAL_ST_EXC_b1969;CHP;1970;;Germany;Krefeld-Uerdingen;26;0,303;51,368639;6,652857;55,0261
KNG Kraftwerk RostockRostock;COAL;COAL_ST_EXC_b1999;CHP;1994;;Germany;Rostock;508;0,383;54,141033;12,131374;150
Tiefstack Hamburg;COAL;COAL_ST_BKP_b1999;CHP;1993;;Germany;Hamburg;194;0,29;53,526442;10,064222;785
MoorburgB Hamburg;COAL;COAL_ST_EXC_f2000;CHP;2014;;Germany;Hamburg;800;0,42;53,49000252;9,951659995;385,7352
MoorburgA Hamburg;COAL;COAL_ST_EXC_f2000;CHP;2015;;Germany;Hamburg;800;0,42;53,49000252;9,951659995;385,7352
Moabit A Berlin;COAL;COAL_ST_BKP_b1999;CHP;1990;;Germany;Berlin;89;0,29;52,54290386;13,35215767;240
Reuter West D Berlin;COAL;COAL_ST_EXC_b1989;CHP;1987;;Germany;Berlin;282;0,363;52,534709;13,242311;387
Reuter West E Berlin;COAL;COAL_ST_EXC_b1989;CHP;1988;;Germany;Berlin;282;0,363;52,534709;13,242311;387
MiROKesselhaus Werk 1 Karlsruhe;FUELOIL;LCVG_ST_EXC_f2000;CHP;1995;;Germany;Karlsruhe;45;0,36;49,04250368;8,338301036;40
MiROKesselhaus Werk 2 Karlsruhe;FUELOIL;LCVG_ST_EXC_f2000;CHP;1995;;Germany;Karlsruhe;25;0,36;49,04250368;8,338301036;40
Raffineriekraftwerk Koeln Godorf;FUELOIL;OIL_CC_BKP_f2000;CHP;2004;;Germany;Koeln;114,4;0,47;50,86637904;6,953082662;235
IKS PCK SchwedtBlock 1 SE 1;FUELOIL;OIL_CC_BKP_b1999;CHP;1998;;Germany;PCK Schwedt;106;0,41;53,09787775;14,2721243;132
IKS PCK SchwedtBlock 2 SE 2;FUELOIL;OIL_CC_BKP_b1999;CHP;1998;;Germany;PCK Schwedt;106;0,41;53,09787775;14,2721243;58,3
IKS PCK SchwedtBlock 5 SE 5;FUELOIL;OIL_ST_BKP_b1969;CHP;1972;;Germany;PCK Schwedt;28;0,205;53,09787775;14,2721243;15,4
Raffineriekraftwerk Leuna;FUELOIL;OIL_CC_BKP_b1999;CHP;1997;;Germany;Leuna;92,5;0,41;51,30788205;12,01430528;208
FKK Kassel;LIGNITE;LIGN_ST_BKP;CHP;1988;;Germany;Kassel;33,5;0,22;51,28351901;9,464256806;80
NeurathD Grevenbroich-Neurath;LIGNITE;LIGN_ST_EXC_f2000;CHP;1975;;Germany;Grevenbroich-Neurath;607;0,315;51,03947259;6,615034049;4,5
NeurathE Grevenbroich-Neurath;LIGNITE;LIGN_ST_EXC_b1983;CHP;1976;;Germany;Grevenbroich-Neurath;604;0,225;51,03947259;6,615034049;4,5
NiederaussemG Bergheim;LIGNITE;LIGN_ST_EXC_b1969;CHP;1974;;Germany;Bergheim;628;0,21;50,99569172;6,66904478;245
WeisweilerG Eschweiler-Weisweiler;LIGNITE;LIGN_ST_EXC_b1969;CHP;1974;;Germany;Eschweiler-Weisweiler;663;0,21;50,83916783;6,321108542;91,5
WeisweilerH Eschweiler-Weisweiler;LIGNITE;LIGN_ST_EXC_f2000;CHP;1975;;Germany;Eschweiler-Weisweiler;656;0,315;50,83916783;6,321108542;91,5
HKW Sachtleben Duisburg;LIGNITE;LIGN_ST_EXC_b1969;CHP;1970;;Germany;Duisburg;27,5;0,21;51,45324812;6,698144801;10
HKW MerkenichBlock 6 Koeln;LIGNITE;LIGN_ST_EXC_f2000;CHP;2010;;Germany;Koeln;75,3;0,315;51,04694896;6,877611699;76
P&L Werk JuelichKessel 5;LIGNITE;LIGN_ST_BKP;CHP;2004;;Germany;Juelich;23,2;0,22;50,92867969;6,366920008;120
Frechen/Wachtberg;LIGNITE;LIGN_ST_EXC_b1969;CHP;1970;;Germany;Frechen;176;0,21;50,91435933;6,787563925;251
HKW Cottbus1;LIGNITE;LIGN_ST_EXC_b1999;CHP;1999;;Germany;Cottbus;74;0,27;51,76223042;14,42936344;80
Heizkraftwerk FFOBlock1-GuD-EK Frankfurt Oder;LIGNITE;LIGN_ST_EXC_b1999;CHP;1997;;Germany;Frankfurt Oder;45;0,27;52,33041368;14,43133141;80
KW JaenschwaldeA Peitz;LIGNITE;LIGN_ST_EXC_b1989;CHP;1981;;Germany;Peitz;465;0,255;51,83425399;14,457728;76,3
KW JaenschwaldeB Peitz;LIGNITE;LIGN_ST_EXC_b1989;CHP;1982;;Germany;Peitz;465;0,255;51,83425399;14,457728;76,3
KW JaenschwaldeC Peitz;LIGNITE;LIGN_ST_EXC_b1989;CHP;1984;;Germany;Peitz;465;0,255;51,83425399;14,457728;76,3
KW JaenschwaldeD Peitz;LIGNITE;LIGN_ST_EXC_b1989;CHP;1985;;Germany;Peitz;465;0,255;51,83425399;14,457728;58
Schwarze PumpeA Spremberg;LIGNITE;LIGN_ST_EXC_b1999;CHP;1997;;Germany;Spremberg;750;0,27;51,5361461;14,353806;60
Schwarze PumpeB Spremberg;LIGNITE;LIGN_ST_EXC_b1999;CHP;1998;;Germany;Spremberg;750;0,27;51,5361461;14,353806;60
Klingenberg Berlin;LIGNITE;LIGN_ST_EXC_b1989;CHP;1981;2029;Germany;Berlin;164;0,255;52,49924632;13,49188392;590
SchkopauA;LIGNITE;LIGN_ST_BKP;CHP;1996;;Germany;Schkopau;450;0,22;51,40111319;11,95082859;100
Waehlitz;LIGNITE;LIGN_ST_EXC_b1989;CHP;1994;;Germany;Waehlitz;31;0,255;51,17154275;12,11203826;40
P&L Werk KoennernKessel 1 und 2;LIGNITE;LIGN_ST_BKP;CHP;1993;;Germany;Koennern;20,3;0,22;51,67013481;11,79402035;149,6
Deuben Teuchern;LIGNITE;LIGN_ST_EXC_b1969;CHP;1970;2100;Germany;Teuchern;67;0,21;51,12862996;12,02460619;100
Grubenheizkraftwerk Seegebiet Mansfelder Land;LIGNITE;LIGN_ST_EXC_f2000;CHP;1979;;Germany;Seegebiet Mansfelder Land;49;0,315;51,47442522;11,67982244;189
LippendorfR Boehlen;LIGNITE;LIGN_ST_EXC_f2000;CHP;2000;;Germany;Boehlen;875;0,315;51,18317874;12,37397;230
Braunkohlekraftwerk LippendorfLIP S Boehlen;LIGNITE;LIGN_ST_EXC_b1999;CHP;1999;;Germany;Boehlen;875;0,27;51,18317874;12,37397;165
