unit_id,unit,second_id,origin,owner_name,bnetza_id,latitude,longitude,city,countrycode,description,valid_from,valid_until,deftech,old_deftech,fuel,effective_startdate,max_power,techclass,unittype,operationmode,default_node_id,voltage_level,AnnualOaMcosts,AvgEff,CapSp,Capture_Rate,CH4,ContributionMinOnl,DeSO2,InvestCosts,LeadTime,LifeTime,MaxEff,MaxSpinResPri,MinDownTime,MinOperTime,MinPower,NonSpinningReserve,NOX,PartEff,Reliab,StartUpFuelConsHot,StartUpVarCosts,SyncTimeHot,VarOaMcosts,GSSHADOWCONTENT,GSSHADOWONLINE,GSCONTENTHYDRORES,GSCONTENTSTORAGE,GSELEC,GSHEAT,GSONLINE,GSOPTIME,GSSDTIME,FlexibleToWind,IsAlwaysRunning,OutTimeStartUpCosts,SpeReserveCapability,SpinningReserve,Vgonline,MaxRes_aFRR,MaxRes_FCR,CHP_CB,Ext_CV,LoadLoss,Sto_LoadEff,Sto_MaxCharging,Sto_MaxContent,Sto_MinCharging,Sto_MinContent,CHP_MaxHeat
6828,Farge Bremen,2024,UeNB,ENGIE Deutschland AG,BNA0147,53.20225516,8.517052748,Bremen,DE,BNA0147,25569,25569,COAL_ST_f2000,COAL22,COAL,25569,350.0,ST,ST,EL,,,42.6,0.46,111.5971,0.0,0,0.0,0,1400,2,35,0.448,0.1619048,4,4,120.0,0,0,0.408,0.97,2170.0,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.3,0.03,,,,,,,,,26.0
6832,Staudinger5 Großkrotzenburg,2042,UeNB,Uniper Kraftwerke GmbH,BNA0377,50.08805295,8.952219924,Großkrotzenburg,DE,BNA0377,33604,25569,COAL_ST_b1999,COAL99,COAL,33604,510.0,ST,ST,EL,,,42.6,0.403,157.9521,0.0,0,0.0,0,1400,2,35,0.413,0.1619048,4,4,139.995,0,0,0.373,0.96,3162.0,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.255,0.0255,,,,,,,,,300.0
6833,Zolling Block 5,2044,UeNB,ENGIE Deutschland AG,BNA1093,48.45499893,11.79899413,Zolling,DE,BNA1093,31413,25569,COAL_ST_EXC_b1989,COAL89_EXC,COAL,31413,472.0,ST_EXC,ST,CHP2,,,65.0,0.363,68.80721,0.0,0,0.0,0,1400,2,35,0.393,0.1619048,4,4,100.0168,0,0,0.353,0.95,2926.4,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.21,0.021,0.7712551,0.3,,,,,,,150.0
6834,GKHBlock1 Hannover,2056,UeNB,Stadtwerke Hannover AG,BNA0420,52.41261664,9.667109701,Hannover,DE,BNA0420,32509,25569,COAL_ST_BKP_b1983,COAL83_BKP,COAL,32509,136.0,ST_BKP,ST,CHP1,,,42.6,0.245,23.17413,0.0,0,0.0,0,1400,2,35,0.405,0.1619048,8,8,56.0048,0,0,0.365,0.95,843.2,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.165,0.0165,0.64,,,,,,,,212.5
6835,GKHBlock2 Hannover,2057,UeNB,Stadtwerke Hannover AG,BNA0421,52.41261664,9.667109701,Hannover,DE,BNA0421,32509,25569,COAL_ST_BKP_b1983,COAL83_BKP,COAL,32509,136.0,ST_BKP,ST,CHP1,,,42.6,0.245,23.17413,0.0,0,0.0,0,1400,2,35,0.405,0.1619048,8,8,56.0048,0,0,0.365,0.95,843.2,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.165,0.0165,0.64,,,,,,,,212.5
6839,KW HafenBlock 6 Bremen,2072,UeNB,swb Erzeugung GmbH & Co. KG,BNA0146,53.12505143,8.728690667,Bremen,DE,BNA0146,28856,25569,COAL_ST_EXC_b1983,COAL83_EXC,COAL,28856,300.0,ST_EXC,ST,CHP2,,,42.6,0.329,54.31643,0.0,0,0.0,0,1400,2,35,0.375,0.1619048,8,8,108.0,0,0,0.335,0.95,1860.0,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.165,0.0165,0.7089844,0.3,,,,,,,39.0
6840,KW HastedtBlock 15 Bremen,2074,UeNB,swb Erzeugung GmbH & Co. KG,BNA0144,53.0604439,8.864734993,Bremen,DE,BNA0144,32509,25569,COAL_ST_EXC_b1989,COAL89_EXC,COAL,32509,119.0,ST_EXC,ST,CHP2,,,65.0,0.363,68.80721,0.0,0,0.0,0,1400,2,35,0.405,0.1619048,4,4,51.0034,0,0,0.365,0.95,737.8,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.21,0.021,0.8229167,0.25,,,,,,,170.0
6841,HKW WestBlock 2 Frankfurt am Main,2084,UeNB,Mainova AG,BNA0289b,50.098294,8.653205,Frankfurt am Main,DE,BNA0289b,32509,25569,COAL_ST_EXC_b1989,COAL89_EXC,COAL,32509,61.5,ST_EXC,ST,CHP2,,,65.0,0.363,68.80721,0.0,0,0.0,0,1400,2,35,0.405,0.1619048,4,4,26.0022,0,0,0.365,0.95,381.3,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.21,0.021,0.8153527,0.3,,,,,,,105.0
6842,HKW WestBlock 3 Frankfurt am Main,2085,UeNB,Mainova AG,BNA0290,50.098294,8.653205,Frankfurt am Main,DE,BNA0290,32509,25569,COAL_ST_EXC_b1989,COAL89_EXC,COAL,32509,61.5,ST_EXC,ST,CHP2,,,65.0,0.363,68.80721,0.0,0,0.0,0,1400,2,35,0.405,0.1619048,4,4,26.0022,0,0,0.365,0.95,381.3,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.21,0.021,0.8153527,0.3,,,,,,,105.0
6843,HKW ErlangenK6 DT2,2160,UeNB,Erlanger Stadtwerke AG,BNA0261b,49.5878361,11.01206652,Erlangen,DE,BNA0261b,29221,25569,COAL_ST_BKP_b1983,COAL83_BKP,COAL,29221,17.4,ST_BKP,ST,CHP1,,,42.6,0.245,23.17413,0.0,0,0.0,0,1400,2,35,0.381,0.1619048,8,8,7.00002,0,0,0.341,0.95,107.88,5,2,2.0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.165,0.0165,0.11,,,,,,,,159.4
